person_id,count,name
9756,3,Todd Phillips
1790441,3,Kim Hee-won
253507,3,Skye Borgman
63670,3,Farah Khan
138721,3,Abhishek Chaubey
66925,3,Anees Bazmee
832040,3,Ramy Imam
1962912,3,Yu Je-won
1607290,3,Nadia Hallgren
141354,3,Yasmin Ahmad
64481,3,Vishal Bhardwaj
57419,3,Masahiko Murata
424372,3,Marla Ancheta
446979,3,Filip Zylber
71207,3,Dani de la Orden
26922,3,Rhys Thomas
103843,3,Mahesh Bhatt
11002,3,Peter Segal
16383,3,Ian MacNaughton
144388,3,Lekh Tandon
3180,3,Sylvester Stallone
406394,3,Alexandre Lehmann
701015,2,Biodun Stephen
68124,2,Indra Kumar
162910,2,Srijit Mukherji
758278,2,Letizia Lamartire
589285,2,Kyohei Ishiguro
1876920,2,Andaç Haznedaroğlu
22799,2,David Bowers
21630,2,Gary Ross
7166,2,Gil Kenan
157823,2,Margaret Brown
16168,2,Robert Luketic
834952,2,David Tryhorn
1756805,2,Ben Nicholas
232480,2,Bonni Cohen
4921,2,Sofia Coppola
127239,2,Alonso Ruizpalacios
1066885,2,Kim Ga-ram
297627,2,Ketche
2066574,2,Chen Ming Zhang
5194,2,Ava DuVernay
188285,2,Chuck Vinson
162963,2,Michaël Prazan
26030,2,Jeffrey Lau
189233,2,Will Yapp
128378,2,Ketan Mehta
1803346,2,Jithin Issac Thomas
284207,2,Annish Krishna
108240,2,Jorge Torregrossa
232711,2,Lucky Kuswandi
74584,2,Elia Suleiman
119079,2,K. S. Ravikumar
354360,2,Şenol Sönmez
66876,2,Milan Luthria
1153271,2,Sim Na-yeon
25796,2,Michael Showalter
29735,2,Brett Haley
121755,2,Huw Cordey
1681,2,Jon Favreau
456639,2,Rahul Rawail
74401,2,Julián Hernández
56015,2,Kenny Leon
39469,2,Teddy Chan
56786,2,Mohit Suri
637512,2,Lee Jae-hoon
431005,2,Michael Fimognari
67542,2,Najwa Najjar
145940,2,Maryo J. de los Reyes
104101,2,Hajime Kamegaki
1496035,2,Park Shin-woo
366677,2,Łukasz Kośmicki
111860,2,Barry Avrich
268929,2,Erin Lee Carr
253916,2,Oh Choong-hwan
315555,2,Funke Akindele
22977,2,Mark Steven Johnson
112738,2,Jenner Furst
112736,2,Julia Willoughby Nason
1578929,2,Ivan Ayr
3754,2,Jason Orley
57821,2,Sion Sono
161306,2,Karthik Subbaraj
178219,2,Leste Chen
140085,2,Olaf de Fleur Johannesson
65503,2,Reema Kagti
48824,2,Daniel Sánchez Arévalo
232016,2,Khaled Marei
334830,2,Bernie Denk
246837,2,Bhaskar
255463,2,Stanley Nelson
19522,2,Peter Sullivan
67533,2,Greg Barker
787502,2,Yoo In-sik
17741,2,Sam Mendes
17793,2,Will Gluck
5139,2,Gabriele Muccino
690250,2,Alejandro Hartmann
1629129,2,Seung Woo Cha
111281,2,Taichi Ishidate
376078,2,Tarun Mansukhani
65088,2,Punit Malhotra
74176,2,Deepa Mehta
230853,2,Luke Snellin
282335,2,Petra Costa
55912,2,G.J. Echternkamp
1284311,2,Alex Diaz
8555,2,Judd Apatow
236212,2,Bartosz M. Kowalski
87623,2,Nahnatchka Khan
68052,2,Theo Love
109542,2,Anvita Dutt
184567,2,Sam Macaroni
1122250,2,Maciej Kawulski
194902,2,Vasan Bala
606969,2,Jennifer Kaytin Robinson
1466932,2,Lisa Bryant
