id,title,score,director
tm851499,Vir Das: For India,8.05,Ajay Bhuyan
tm851499,Vir Das: For India,8.05,Vir Das
tm182586,Silenced,8.05,Hwang Dong-hyuk
tm983730,Amy Tan: Unintended Memoir,8.05,James Redford
tm825102,Our Planet: Behind the Scenes,8.05,Gisle Sverdrup
tm825102,Our Planet: Behind the Scenes,8.05,Hugh Pearson
tm825102,Our Planet: Behind the Scenes,8.05,Ilaira Mallalieu
tm244234,Call Me by Your Name,8.038499999999999,Luca Guadagnino
tm129763,Anbe Sivam,8.0135,Sundar C
tm863808,My Octopus Teacher,8.008,James Reed
tm863808,My Octopus Teacher,8.008,Philippa Ehrlich
tm140877,The Imitation Game,8.004999999999999,Morten Tyldum
tm127384,Monty Python and the Holy Grail,8.001999999999999,Terry Gilliam
tm127384,Monty Python and the Holy Grail,8.001999999999999,Terry Jones
tm446480,Cemara's Family,8.0,Yandy Laurens
tm814425,The Blue Elephant 2,8.0,Marwan Hamed
tm1031186,Heroes: Silence and Rock & Roll,8.0,Alexis Morante
tm1199325,Missing Home,8.0,Bene Dion Rajagukguk
tm87909,Thomas & Friends: Thomas and the Jet Engine,8.0,
tm244310,Merku Thodarchi Malai,8.0,Lenin Bharathi
tm1276831,Kaapa,8.0,Shaji Kailas
tm112235,Kannathil Muthamittal,8.0,Mani Ratnam
tm218052,Drishyam,8.0,Nishikant Kamat
tm1081541,Farha,8.0,Darin J. Sallam
tm464509,K. D.,8.0,Madhumita
tm827142,Dave Chappelle: Sticks & Stones,8.0,Stan Lathan
tm885470,My Next Guest with David Letterman and Shah Rukh Khan,8.0,Michael Steed
tm941493,StarBeam: Halloween Hero,8.0,
tm1127485,Love at First Stream,8.0,Cathy Garcia-Molina
tm1204029,Nanpakal Nerathu Mayakkam,8.0,Lijo Jose Pellissery
tm1018890,Seaspiracy,7.9925,Ali Tabrizi
tm1219398,Bo Burnham: The Inside Outtakes,7.952999999999999,Bo Burnham
tm20959,The Pursuit of Happyness,7.9510000000000005,Gabriele Muccino
tm418894,Franco Escamilla: por la anécdota,7.95,Ulises Valencia
tm443993,"Take the Ball, Pass the Ball",7.95,Duncan McMath
tm814652,Mallesham,7.95,Raj Rachakonda
tm1201457,Civil: Ben Crump,7.95,Nadia Hallgren
tm300280,Rumble: The Indians Who Rocked the World,7.949999999999999,Catherine Bainbridge
tm819841,Isa Pa with Feelings,7.949999999999999,Prime Cruz
tm322569,Hasan Minhaj: Homecoming King,7.948499999999999,Christopher Storer
tm143617,La La Land,7.944,Damien Chazelle
tm149038,Bill Burr: I'm Sorry You Feel That Way,7.943999999999999,Jay Karas
tm811971,Oprah Winfrey Presents: When They See Us Now,7.943999999999999,Mark Ritchie
tm82169,Rocky,7.941,John G. Avildsen
tm438816,Guillermo del Toro's Pinocchio,7.938,Mark Gustafson
tm438816,Guillermo del Toro's Pinocchio,7.938,Guillermo del Toro
tm151716,Cowspiracy: The Sustainability Secret,7.911,Keegan Kuhn
tm187390,The Square,7.9105,Jehane Noujaim
tm176864,Rush,7.9030000000000005,Ron Howard
tm362264,The Gift,7.9,Jordan Riber
tm63368,A World Not Ours,7.9,Mahdi Fleifel
tm313120,Chasing Coral,7.9,Jeff Orlowski
tm34391,Before the Flying Circus,7.9,Will Yapp
tm856372,The Book of Sun,7.9,Faris Godus
tm147913,PK,7.9,Rajkumar Hirani
tm1114458,Gone,7.9,William Jackson
tm411507,John Mulaney: Kid Gorgeous at Radio City,7.9,Alex Timbers
tm414595,Period. End of Sentence.,7.9,Rayka Zehtabchi
tm423373,Andhadhun,7.8999999999999995,Sriram Raghavan
tm349529,Cuba and the Cameraman,7.8999999999999995,Jon Alpert
tm41525,Herod's Law,7.8915,Luis Estrada
tm70993,Life of Brian,7.881,Terry Jones
tm30205,Ip Man,7.873,Wilson Yip
tm678851,Article 15,7.8565000000000005,Anubhav Sinha
tm182125,Zindagi Na Milegi Dobara,7.855499999999999,Zoya Akhtar
tm1220458,Kantara,7.8500000000000005,Rishab Shetty
tm340927,Motu Patlu: King Of Kings,7.85,Suhas Kadav
tm232710,A Second Chance,7.85,Daniel Beard
tm232710,A Second Chance,7.85,Candy J. Beard
tm1263848,Love Today,7.85,Pradeep Ranganathan
tm411415,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,7.85,Stephen Kijak
tm316923,Kartini: Princess of Java,7.85,Hanung Bramantyo
tm853910,Road to Roma,7.85,Andrés Clariond
tm853910,Road to Roma,7.85,Gabriel Nuncio
tm467467,Homecoming: A Film by Beyoncé,7.85,Beyoncé
tm469025,Franco Escamilla: bienvenido al mundo,7.85,Ulises Valencia
tm1068692,Emicida AmarElo Live in Sao Paulo,7.85,Fred Ouro Preto
tm1158784,20th Century Girl,7.85,Bang Woo-ri
tm403709,Marriage Story,7.829000000000001,Noah Baumbach
tm463762,RRR,7.8225,S. S. Rajamouli
tm53034,Sebastian Maniscalco: What's Wrong with People?,7.8095,Manny Rodriguez
tm375912,Ricky Gervais: Humanity,7.8075,John L. Spencer
tm446608,Toni Morrison: The Pieces I Am,7.800000000000001,Timothy Greenfield-Sanders
